folioviv,foliohog,numren,clave,material,gasto,gasto_tri
02001832603,1,03,E001B,1000,1000,2903.22
02001832605,1,03,E004B,2000,2000,5806.45
02002420803,1,04,E002A,150,150,482.14
02002420803,1,03,E004A,150,150,482.14
02002420803,1,03,E004B,350,350,1124.99
02002420803,1,04,E002B,550,550,1767.85
02002420804,1,03,E002A,100,100,321.42
02002420804,1,03,E002B,400,400,1285.71
02003652904,1,04,E002B,1100,1100,3300
02003652904,1,03,E004A,500,500,1500
02003652904,1,04,E002A,500,500,1500
02004243301,1,07,E003A,50,50,145.16
02004243301,1,06,E005A,100,100,290.32
02004243301,1,05,E005A,100,100,290.32
02004282405,1,07,E003A,100,100,290.32
02004282405,1,06,E003A,50,50,145.16
02004282405,1,05,E004A,100,100,290.32
02004282405,1,08,E002A,200,200,580.64
02004282405,1,09,E001B,500,500,1451.61
02004282406,1,03,E004A,170,170,493.54
02004282406,1,04,E004A,200,200,580.64
02004510902,1,03,E002A,100,100,321.42
02004510902,1,03,E002B,300,300,964.28
02004510902,1,04,E002A,100,100,321.42
02004510902,1,02,E003B,450,450,1446.42
02004510902,1,02,E003A,150,150,482.14
02004510902,1,04,E002B,300,300,964.28
02004652701,1,03,E004B,300,300,870.96
02004652701,1,03,E004A,700,700,2032.25
02004652701,1,04,E002B,200,200,580.64
02004652701,1,04,E002A,200,200,580.64
02006450402,1,05,E003A,350,350,1016.12
02006471301,1,04,E001B,1100,1100,3300
02006471302,1,04,E001B,1700,1700,5100
02006471302,1,03,E002B,1500,1500,4500
02006471304,1,03,E005B,3900,3900,11700
02006703003,1,03,E002A,600,600,1800
02007112102,1,04,E002B,200,200,600
02007850703,1,03,E002A,150,150,482.14
02007850703,1,03,E002B,370,370,1189.28
02011603205,1,06,E002A,300,300,870.96
02011603205,1,09,E003A,400,400,1161.29
02011603205,1,08,E003A,400,400,1161.29
02012560302,1,02,E004B,20,20,58.06
02012560302,1,02,E004A,110,110,319.35
02012703306,1,04,E002A,240,240,696.77
02013722403,1,03,E002B,500,500,1451.61
02013722403,1,02,E004B,1500,1500,4354.83
02013722403,1,02,E004A,1500,1500,4354.83
02013722403,1,03,E002A,500,500,1451.61
02013722406,1,01,E005B,100,100,290.32
02015030803,1,04,E005A,500,500,1607.14
02019890706,1,03,E002A,100,100,321.42
02019890706,1,03,E002B,30,30,96.42
02021151803,1,04,E002B,100,100,290.32
02021151803,1,03,E002A,300,300,870.96
02025310802,1,05,E002B,31,31,99.64
02025310802,1,06,E002A,119,119,382.49
02025310802,1,05,E002A,119,119,382.49
02025310802,1,04,E002B,31,31,99.64
02025310802,1,04,E002A,119,119,382.49
02025310802,1,07,E001B,26,26,83.57
02025310802,1,07,E001A,34,34,109.28
02025310802,1,06,E002B,31,31,99.64
02025310802,1,03,E003A,170,170,546.42
02025310805,1,03,E003A,500,500,1607.14
02025310806,1,04,E002B,30,30,96.42
02025310806,1,04,E002A,100,100,321.42
02026290501,1,03,E001B,300,300,870.96
02026381605,1,03,E002A,70,70,203.22
02026381605,1,03,E002B,80,80,232.25
02026641004,1,04,E002A,200,200,580.64
02026641004,1,03,E002A,300,300,870.96
02027762201,1,04,E004B,400,400,1161.29
02027762201,1,04,E004A,600,600,1741.93
02027762205,1,03,E002B,400,400,1161.29
02027762205,1,03,E002A,600,600,1741.93
02028061304,1,03,E005A,100,100,300
02028061306,1,03,E004B,300,300,900
02028061306,1,03,E004A,700,700,2100
02032513105,1,03,E002A,500,500,1451.61
02032513105,1,06,E004B,1500,1500,4354.83
02033670701,1,04,E004B,80,80,257.14
02033670703,1,02,E005A,300,300,964.28
02035611601,1,03,E002B,180,180,522.58
02035611601,1,03,E002A,1368,1368,3971.61
02037181004,1,04,E001B,350,350,1016.12
02037181004,1,04,E001A,50,50,145.16
02037181004,1,03,E002B,290,290,841.93
02037181004,1,03,E002A,210,210,609.67
02037181004,1,02,E003A,300,300,870.96
02037181004,1,02,E003B,300,300,870.96
02037530503,1,04,E003A,200,200,580.64
02037530503,1,03,E004A,200,200,580.64
02038202401,1,03,E005A,1200,1200,3483.87
02038202402,1,04,E001A,175,175,508.06
02038202402,1,04,E001B,125,125,362.9
02038202405,1,03,E003A,200,200,580.64
02038202405,1,04,E002A,200,200,580.64
02039342601,1,04,E002B,200,200,580.64
02039342601,1,04,E002A,300,300,870.96
02039342604,1,02,E003A,200,200,580.64
02039342605,1,05,E001A,300,300,870.96
02039342605,1,04,E002B,350,350,1016.12
02039342605,1,04,E002A,350,350,1016.12
02039342605,1,03,E002B,300,300,870.96
02039342605,1,03,E002A,400,400,1161.29
02039342605,1,05,E001B,300,300,870.96
02042170801,1,03,E001B,400,400,1285.71
02042170801,1,03,E001A,600,600,1928.57
02042170806,1,04,E003A,1000,1000,3214.28
02042170806,1,04,E003B,300,300,964.28
02042170806,1,03,E002B,300,300,964.28
02042170806,1,03,E002A,500,500,1607.14
02044040702,1,05,E004B,1600,1600,5142.85
02044040703,1,03,E003A,500,500,1607.14
02044040703,1,04,E003A,500,500,1607.14
02048292304,1,05,E002A,400,400,1161.29
02048292304,1,04,E004A,800,800,2322.58
02048292304,1,03,E005A,600,600,1741.93
02048292306,1,05,E002A,200,200,580.64
02048681002,1,02,E005B,3300,3300,9580.64
02048681006,1,05,E002B,700,700,2032.25
02048681006,1,06,E002B,700,700,2032.25
